2,00
1,39
2,58
3,60
2,98
12,20
5,06
4,32
3,56
9,30
4,20
7,44
3,52
2,12
5,06
7,76
13,92
5,84
3,81
3,44
4,46
8,57
2,62
7,46
5,24





5,74
4,74
7,53
7,50
5,16
15,40
12,64
2,82
5,07
14,34
7,66
8,40
7,03
6,60
6,72
8,22
2,84
13,26
10,82
6,06
12,02
5,42
7,28
14,21
8,98





5,68
4,94
5,89
4,55
8,06
6,56
4,16
12,38
16,42
16,72
10,66
12,88
5,06
35,18
9,58
4,36
14,94
14,84
12,76
8,46
19,52
12,24
15,18
24,00
3,48





8,30
4,21
5,79
5,91
9,06
5,14
5,71
10,20
10,18
5,17
6,87
5,10
2,19
13,67
4,83
12,21
10,97
9,95
9,06
6,17
22,59
5,53
9,36
8,93
11,00



































2,82
5,89
14,80
8,58
6,12
13,32
7,98
7,58















10,82
15,53





























































































































2,23
8,44
5,52
5,33
5,56
19,62
8,50
4,66
9,14
13,00
10,10
18,96
7,12
2,26
4,62















7,42
11,28
14,18
19,12
7,78



















































































































4,24
10,48
17,24
18,88
13,22









































































