2,90
1,90
3,90
4,20
3,50
14,90
7,70
4,80
4,60
12,20
4,80
9,40
4,60
2,70
6,60
9,00
20,00
6,30
4,30
4,30
6,20
10,20
3,00
8,80
6,50





7,00
6,00
9,70
9,70
7,00
18,60
15,00
5,30
7,80
20,00
8,20
9,40
9,10
8,80
8,00
10,60
3,70
15,70
15,00
6,80
13,70
6,10
13,60
16,60
10,20





8,10
6,80
6,80
4,90
9,20
9,10
4,70
13,80
18,50
18,50
14,30
16,90
6,20
40,00
10,40
5,70
20,00
16,60
13,50
10,00
23,30
14,50
17,30
29,60
9,20

































































3,50
6,60
16,80
9,60
7,80
16,70
15,00
9,00















13,70
18,80





























































































































6,90
10,90
8,90
6,40
14,40
21,70
14,00
6,30
10,20
18,10
11,70
21,60
14,80
3,00
7,30















8,60
17,60
20,90
20,60
8,54



















































































































5,30
12,20
20,10
21,60
15,50



















































































































